index,load,APX,clouds,radiation,temp,winddeg,windspeed,windspeed_100m,pressure,humidity,rain,mxlD,snowDepth,clearSky_ulf,clearSky_dlf,sjv_E1A,sjv_E1B,sjv_E1C,sjv_E2A,sjv_E2B,sjv_E3A,sjv_E3B,sjv_E3C,sjv_E3D,sjv_E4A
2020-10-28 11:45:00+00:00,5.23,31.11,99.9786376953125,714962.25,10.5096435546875,283.60306549072266,5.020138888888889,11.463946342468262,100667.76953125,0.9027145057916641,0.5925,1708.3935546875,0.0,6.173870801925659,12.205960988998413,2.612e-05,2.423e-05,2.317e-05,3.208e-05,3.086e-05,4.836e-05,4.424e-05,4.424e-05,3.026e-05,0.0
2020-10-28 12:00:00+00:00,7.273333333333333,32.6,100.0,699238.0,10.3714599609375,280.66705322265625,5.088888888888889,11.178465843200684,100661.0234375,0.9184882044792175,0.64,1719.64453125,0.0,5.999659538269043,12.086494445800781,2.621e-05,2.446e-05,2.317e-05,3.184e-05,3.066e-05,4.818e-05,4.41e-05,4.41e-05,3.023e-05,0.0
2020-10-28 12:15:00+00:00,10.900000000000002,32.6,100.0,683513.75,10.25445556640625,282.4591064453125,5.05625,11.45530104637146,100653.703125,0.9232795238494873,0.685,1765.6526489257812,0.0,5.947843313217163,11.323677062988281,2.589e-05,2.412e-05,2.326e-05,3.171e-05,3.06e-05,4.948e-05,4.403e-05,4.403e-05,3.019e-05,0.0
2020-10-28 12:30:00+00:00,10.546666666666665,32.6,100.0,667789.5,10.137451171875,284.25115966796875,5.023611111111111,11.732136249542236,100646.3828125,0.9280708432197571,0.73,1811.6607666015625,0.0,5.896027088165283,10.560859680175781,2.571e-05,2.401e-05,2.343e-05,3.204e-05,3.104e-05,5.066e-05,4.414e-05,4.414e-05,3.013e-05,0.0
2020-10-28 12:45:00+00:00,11.196666666666665,32.6,100.0,523746.125,10.02044677734375,286.043212890625,4.990972222222222,12.008971452713013,100639.0625,0.9328621625900269,0.775,1857.6688842773438,0.0,5.844210863113403,9.798042297363281,2.562e-05,2.397e-05,2.376e-05,3.218e-05,3.127e-05,5.17e-05,4.42e-05,4.42e-05,3.008e-05,0.0
2020-10-28 13:00:00+00:00,10.393333333333334,40.78,100.0,379702.75,9.9034423828125,287.83526611328125,4.958333333333334,12.285806655883789,100631.7421875,0.9376534819602966,0.8200000000000001,1903.677001953125,0.0,5.792394638061523,9.035224914550781,2.598e-05,2.467e-05,2.39e-05,3.231e-05,3.152e-05,5.181e-05,4.411e-05,4.411e-05,3.005e-05,0.0
2020-10-28 13:15:00+00:00,9.89,40.78,100.0,235659.375,9.876510620117188,292.1753692626953,4.879166666666667,12.706135511398315,100625.103515625,0.9319543987512589,0.8600000000000001,2203.4630737304688,0.0,5.213380575180054,9.487427949905396,2.633e-05,2.537e-05,2.409e-05,3.218e-05,3.15e-05,5.226e-05,4.403e-05,4.403e-05,3.001e-05,0.0
2020-10-28 13:30:00+00:00,11.129999999999999,40.78,100.0,91616.0,9.849578857421875,296.5154724121094,4.800000000000001,13.126464366912842,100618.46484375,0.9262553155422211,0.9,2503.2491455078125,0.0,4.634366512298584,9.93963098526001,2.647e-05,2.578e-05,2.434e-05,3.225e-05,3.17e-05,5.182e-05,4.386e-05,4.386e-05,3.002e-05,0.0
2020-10-28 13:45:00+00:00,12.493333333333334,40.78,100.0,74547.1875,9.822647094726562,300.85557556152344,4.720833333333333,13.546793222427368,100611.826171875,0.9205562323331833,0.94,2803.0352172851562,0.0,4.055352449417114,10.391834020614624,2.628e-05,2.572e-05,2.479e-05,3.243e-05,3.204e-05,5.145e-05,4.375e-05,4.375e-05,3.002e-05,0.0
2020-10-28 14:00:00+00:00,13.106666666666666,44.4,100.0,57478.375,9.79571533203125,305.1956787109375,4.641666666666667,13.967122077941895,100605.1875,0.9148571491241455,0.98,3102.8212890625,0.0,3.4763383865356445,10.844037055969238,2.631e-05,2.596e-05,2.529e-05,3.267e-05,3.245e-05,5.025e-05,4.361e-05,4.361e-05,3.007e-05,0.0
2020-10-28 14:15:00+00:00,13.04,44.4,100.0,40409.5625,9.500465393066406,282.0036849975586,4.535416666666666,13.727452278137207,100611.935546875,0.9169439077377319,1.01,2785.7786560058594,0.0,5.143374681472778,11.122054100036621,2.665e-05,2.666e-05,2.58e-05,3.282e-05,3.278e-05,4.97e-05,4.339e-05,4.339e-05,3.009e-05,0.0
2020-10-28 14:30:00+00:00,13.886666666666667,44.4,100.0,23340.75,9.205215454101562,258.8116912841797,4.429166666666667,13.48778247833252,100618.68359375,0.9190306663513184,1.04,2468.7360229492188,0.0,6.810410976409912,11.400071144104004,2.707e-05,2.748e-05,2.64e-05,3.3e-05,3.315e-05,4.932e-05,4.319e-05,4.319e-05,3.009e-05,0.0
